epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,87.0717,0.55549,0.68499,0.82682,0.93475,0.64987,0.89332,0.81002,0.43865,1.90304,0.80863,0.000670112,0.000670112,0.000670112
76,88.3825,0.51849,0.64958,0.85351,0.93475,0.64987,0.89332,0.81002,0.43865,1.90304,0.80863,0.000673863,0.000673863,0.000673863
77,89.4018,0.41233,0.70112,0.83823,0.93475,0.64987,0.89332,0.81002,0.43865,1.90304,0.80863,0.000677472,0.000677472,0.000677472
78,90.5713,0.49251,0.57453,0.82424,0.98798,0.75931,0.97278,0.88531,0.4469,1.76017,0.8165,0.000680939,0.000680939,0.000680939
79,91.5728,0.42831,0.58594,0.81733,0.98798,0.75931,0.97278,0.88531,0.4469,1.76017,0.8165,0.000684265,0.000684265,0.000684265
80,92.6397,0.51801,0.58472,0.8387,0.98798,0.75931,0.97278,0.88531,0.4469,1.76017,0.8165,0.00068745,0.00068745,0.00068745
81,93.7066,0.5636,0.60438,0.83428,0.8758,0.66946,0.95056,0.83188,0.47933,1.7399,0.8288,0.000690493,0.000690493,0.000690493
82,94.7333,0.59955,0.7101,0.87856,0.8758,0.66946,0.95056,0.83188,0.47933,1.7399,0.8288,0.000693394,0.000693394,0.000693394
83,95.7164,0.50346,0.57572,0.81718,0.8758,0.66946,0.95056,0.83188,0.47933,1.7399,0.8288,0.000696154,0.000696154,0.000696154
84,96.7506,0.49657,0.57726,0.79148,0.9206,0.81913,0.95056,0.83704,0.4861,1.6803,0.82947,0.000698773,0.000698773,0.000698773
85,97.777,0.43526,0.80828,0.82994,0.9206,0.81913,0.95056,0.83704,0.4861,1.6803,0.82947,0.00070125,0.00070125,0.00070125
86,98.8926,0.53535,0.65467,0.82824,0.9206,0.81913,0.95056,0.83704,0.4861,1.6803,0.82947,0.000703586,0.000703586,0.000703586
87,99.9333,0.54818,0.61789,0.81935,0.9206,0.81913,0.95056,0.83704,0.4861,1.6803,0.82947,0.00070578,0.00070578,0.00070578
88,101.208,0.48803,0.59146,0.82755,0.90487,0.7659,0.96167,0.84337,0.46752,1.65249,0.83273,0.000707833,0.000707833,0.000707833
89,102.215,0.45612,0.59097,0.80205,0.90487,0.7659,0.96167,0.84337,0.46752,1.65249,0.83273,0.000709744,0.000709744,0.000709744
90,103.274,0.4868,0.55186,0.80563,0.90487,0.7659,0.96167,0.84337,0.46752,1.65249,0.83273,0.000711514,0.000711514,0.000711514
